2.65,9.80,4.82
10.91,-6.89,37.16
-3.98,19.25,59.63
-18.26,34.54,33.81
-20.52,1.61,34.35
-34.55,1.79,-1.29
-38.64,-9.63,-29.48
-22.33,-17.96,-53.83
4.30,-22.55,-49.36
19.35,-19.21,-34.56
30.29,-9.17,-8.42
37.08,-0.22,18.38
29.25,5.17,12.31
38.02,-8.52,8.77
33.32,-11.46,-11.48
35.54,-9.24,-38.14
4.63,-1.00,-74.99
-56.44,19.64,-60.18
-50.55,0.92,-15.35
-38.55,-16.94,-37.27
-15.28,37.29,14.55
-1.42,23.22,53.57
9.64,4.83,41.46
11.91,5.61,25.52
8.25,-0.69,17.43
10.54,2.46,8.67
