26.95,-20.61,32.98
34.53,5.87,65.94
8.93,27.17,43.04
-14.92,15.11,-1.63
-30.74,-3.30,-28.59
-27.49,-8.09,-44.66
-38.36,-13.75,-39.01
-37.44,-36.77,-38.37
-41.36,-28.36,-35.35
-35.59,2.63,-29.29
-14.02,29.45,-14.20
1.18,38.55,-5.68
42.70,32.90,2.39
71.94,17.44,13.44
73.80,3.59,16.45
48.58,8.38,11.16
18.34,21.65,3.20
2.13,18.34,-7.22
-19.15,10.05,-16.03
-30.67,-4.99,-10.36
-28.72,-21.63,-8.02
-17.30,-21.28,-3.93
-17.01,-35.40,-5.79
-20.54,-51.48,-1.79
-22.97,-40.01,-0.10
-32.22,-24.35,1.38
-19.10,2.83,-0.01
-12.90,21.04,-0.28
22.18,26.98,-6.52
40.79,24.60,-0.46
57.72,16.77,-1.10
51.32,14.65,-7.56
33.93,24.84,-4.47
18.96,26.64,-8.04
-6.96,12.97,2.53
-20.79,-4.87,6.68
-27.88,-15.65,9.03
-21.02,-18.24,2.50
-18.02,-25.34,-11.34
-11.07,-31.00,-11.41
-13.95,-33.85,-7.51
-22.11,-31.51,-12.62
-23.30,-16.68,-16.66
-35.88,1.00,-1.97
-11.75,25.84,1.43
36.78,23.65,7.12
43.37,14.83,8.78
43.49,16.52,2.79
43.87,24.39,2.61
35.73,24.86,-2.92
11.26,16.92,-4.18
-17.29,5.30,0.97
-27.17,-9.09,-2.73
-27.31,-16.29,-3.26
-15.40,-16.46,-6.44
-7.95,-14.66,-7.05
-1.84,-9.76,-7.24
